TIC_ID,label,class_name,source,name,split
261136679,0,planet,planet,,val
178155732,0,planet,planet,,train
130181866,0,planet,planet,,test
407966340,0,planet,planet,,train
87216634,0,planet,planet,,train
21832928,0,planet,planet,,test
397362481,0,planet,planet,,val
441420236,0,planet,planet,,val
317548889,0,planet,planet,,train
279741379,0,planet,planet,,train
200723869,0,planet,planet,,train
394137592,0,planet,planet,,test
436873727,0,planet,planet,,train
441462736,0,planet,planet,,val
22221375,0,planet,planet,,train
290348383,0,planet,planet,,train
403224672,0,planet,planet,,train
91987762,0,planet,planet,,train
271478281,0,planet,planet,,val
263003176,0,planet,planet,,train
392681545,0,planet,planet,,val
264678534,0,planet,planet,,train
437011608,0,planet,planet,,test
4897275,0,planet,planet,,test
21535395,0,planet,planet,,val
359271092,0,planet,planet,,train
100990000,0,planet,planet,,train
464646604,0,planet,planet,,train
467651916,0,planet,planet,,train
202426247,0,planet,planet,,train
75878355,0,planet,planet,,val
375506058,0,planet,planet,,test
410214986,0,planet,planet,,train
290131778,0,planet,planet,,train
307809773,0,planet,planet,,train
158241252,0,planet,planet,,train
453211454,0,planet,planet,,train
391949880,0,planet,planet,,train
23434737,0,planet,planet,,train
34068865,0,planet,planet,,train
199376584,0,planet,planet,,train
418604868,0,planet,planet,,val
320004517,0,planet,planet,,val
70513361,0,planet,planet,,train
333657795,0,planet,planet,,val
31374837,0,planet,planet,,val
207141131,0,planet,planet,,train
114018671,0,planet,planet,,train
257241363,0,planet,planet,,train
219857012,0,planet,planet,,train
269701147,0,planet,planet,,train
318753380,0,planet,planet,,train
352413427,0,planet,planet,,val
120896927,0,planet,planet,,train
408618999,0,planet,planet,,val
307958020,0,planet,planet,,val
8967242,0,planet,planet,,train
27491137,0,planet,planet,,train
293954617,0,planet,planet,,train
349488688,0,planet,planet,,train
366989877,0,planet,planet,,train
39699648,0,planet,planet,,train
232540264,0,planet,planet,,train
37749396,0,planet,planet,,val
9989136,0,planet,planet,,train
88992642,0,planet,planet,,train
83092282,0,planet,planet,,train
298663873,0,planet,planet,,train
306263608,0,planet,planet,,train
350618622,0,planet,planet,,train
101011575,0,planet,planet,,train
404518509,0,planet,planet,,train
151759246,0,planet,planet,,test
368435330,0,planet,planet,,train
440887364,0,planet,planet,,train
260647166,0,planet,planet,,train
437856897,0,planet,planet,,train
286712787,0,planet,planet,,train
335630746,0,planet,planet,,train
198356533,0,planet,planet,,val
203377303,0,planet,planet,,train
449197831,0,planet,planet,,train
360630575,0,planet,planet,,val
239332587,0,planet,planet,,train
29191624,0,planet,planet,,train
413248763,0,planet,planet,,train
147277741,0,planet,planet,,val
425997655,0,planet,planet,,train
460984940,0,planet,planet,,train
383390264,0,planet,planet,,train
7422496,0,planet,planet,,train
33692729,0,planet,planet,,train
391903064,0,planet,planet,,train
287080092,0,planet,planet,,train
364186197,0,planet,planet,,train
14336130,0,planet,planet,,train
106402532,0,planet,planet,,train
98796344,0,planet,planet,,train
4646810,0,planet,planet,,train
287256467,0,planet,planet,,test
149845414,0,planet,planet,,test
445805961,0,planet,planet,,train
65612701,0,planet,planet,,train
142276270,0,planet,planet,,test
29781292,0,planet,planet,,val
357501308,0,planet,planet,,val
142387023,0,planet,planet,,train
119292328,0,planet,planet,,train
393818343,0,planet,planet,,train
317597583,0,planet,planet,,test
121490076,0,planet,planet,,train
417931607,0,planet,planet,,train
139702105,0,planet,planet,,train
120826158,0,planet,planet,,train
48018596,0,planet,planet,,train
142937186,0,planet,planet,,test
229455001,0,planet,planet,,val
317060587,0,planet,planet,,val
204650483,0,planet,planet,,train
154872375,0,planet,planet,,train
395171208,0,planet,planet,,train
180695581,0,planet,planet,,train
63898957,0,planet,planet,,train
130924120,0,planet,planet,,train
179034327,0,planet,planet,,train
158025009,0,planet,planet,,train
300038935,0,planet,planet,,train
71431780,0,planet,planet,,train
183985250,0,planet,planet,,train
116483514,0,planet,planet,,train
150030205,0,planet,planet,,train
97568467,0,planet,planet,,test
237222864,0,planet,planet,,train
71582156,0,planet,planet,,train
380887434,0,planet,planet,,train
266980320,0,planet,planet,,train
172518755,0,planet,planet,,test
350348197,0,planet,planet,,train
166527623,0,planet,planet,,val
466376085,0,planet,planet,,train
192415680,0,planet,planet,,train
267263253,0,planet,planet,,train
429304876,0,planet,planet,,test
234994474,0,planet,planet,,train
212253390,0,planet,planet,,train
34077285,0,planet,planet,,train
26547036,0,planet,planet,,train
404505029,0,planet,planet,,train
94986319,0,planet,planet,,train
280206394,0,planet,planet,,train
207468071,0,planet,planet,,val
194736418,0,planet,planet,,test
224225541,0,planet,planet,,train
85293053,0,planet,planet,,train
77253676,0,planet,planet,,train
102840239,0,planet,planet,,train
62483237,0,planet,planet,,train
